State,Population,total_all_crime
Alabama,4822023.0,359449.0
Alaska,731449.0,44486.0
Arizona,6553255.0,491968.0
Arkansas,2949131.0,229717.0
California,38041430.0,2259874.0
Colorado,5187582.0,294563.0
Connecticut,3590347.0,163828.0
Delaware,917092.0,66298.0
District of Columbia,632323.0,69336.0
Florida,19317568.0,1360063.0
Georgia,9919945.0,714249.0
Hawaii,1392313.0,88964.0
Idaho,1595728.0,66620.0
Illinois,12875255.0,717429.0
Indiana,6537334.0,418666.0
Iowa,3074186.0,147790.0
Kansas,2885905.0,191652.0
Kentucky,4380415.0,233404.0
Louisiana,4601893.0,348740.0
Maine,1329192.0,68353.0
Maryland,5884563.0,352117.0
Massachusetts,6646144.0,313131.0
Michigan,9883360.0,545124.0
Minnesota,5379139.0,288723.0
Mississippi,2984926.0,175598.0
Missouri,6021988.0,426335.0
Montana,1005141.0,54676.0
Nebraska,1855525.0,107050.0
Nevada,2758931.0,171783.0
New Hampshire,1320718.0,63867.0
New Jersey,8864590.0,388689.0
New Mexico,2085538.0,161848.0
New York,19570261.0,831890.0
North Carolina,9752073.0,691652.0
North Dakota,699628.0,29838.0
Ohio,11544225.0,754361.0
Oklahoma,3814820.0,277388.0
Oregon,3899353.0,261099.0
Pennsylvania,12763536.0,597495.0
Rhode Island,1050292.0,56685.0
South Carolina,4723723.0,387497.0
South Dakota,833354.0,37018.0
Tennessee,6456243.0,476878.0
Texas,26059203.0,1858594.0
Utah,2855287.0,176724.0
Vermont,626011.0,30925.0
Virginia,8185867.0,369534.0
Washington,6897012.0,525052.0
West Virginia,1855413.0,93625.0
Wisconsin,5726398.0,297090.0
Wyoming,576412.0,27605.0
